// ==========================================
// 全国エリア別天気 設定ファイル
// ==========================================
// 【記述ルール】
// ※エリア名
// 拠点名, 緯度, 経度, 都道府県名 // 補足メモ
//
// ・「※」で始まる行がタブの名称になります。
// ・各項目はカンマ「,」で区切ってください。
// ・「//」以降はコメントとして無視されます。
// ・拠点を追加すると、自動的にタブ内に行が追加されます。
//
//　緯度経度はGoogleMapで拾える長い番号でOK
// 例：志賀高原,36.70,138.50,長野県 // 絶景ロード周辺
// ==========================================

※関東・甲
東京,35.68,139.69,東京都
相模原,35.57,139.37,神奈川県
山中湖,35.42,138.87,山梨県
甲府,35.66,138.56,山梨県
北杜市,35.83,138.37,山梨県
伊勢崎,36.32,139.19,群馬県
水上,36.78,138.97,群馬県
水戸,36.37,140.47,茨城県
大洗,36.31,140.57,茨城県
館山,35.00602153372774, 139.9063056592252,千葉県

※長野・信州
長野市,36.65,138.18,長野県
白馬村,36.70,137.86,長野県
松本,36.23,137.97,長野県
美ヶ原,36.22,138.10,長野県
白樺湖,36.10,138.24,長野県
蓼科,36.05,138.26,長野県
諏訪,36.04,138.11,長野県
駒ヶ根,35.73,137.93,長野県
軽井沢,36.35,138.63,長野県

※東海・北陸
沼津,35.10,138.86,静岡県
下田,34.68,138.94,静岡県
静岡,34.97,138.38,静岡県
浜松,34.70,137.73,静岡県
名古屋,35.18,136.91,愛知県
砺波,36.63,136.94,富山県
白川村,36.27,136.90,岐阜県
新潟市,37.91,139.04,新潟県
湯沢,36.93,138.81,新潟県
上越,37.11,138.24,新潟県
富山市,36.69,137.21,富山県
高岡,36.74,137.01,富山県
金沢,36.56,136.66,石川県
輪島,37.39,136.89,石川県
千里浜,36.82,136.75,石川県
福井,36.06,136.22,福井県

※東北
青森,40.82,140.75,青森県
八戸,40.51,141.49,青森県
盛岡,39.70,141.15,岩手県
仙台,38.27,140.87,宮城県
秋田,39.72,140.10,秋田県
山形,38.26,140.34,山形県
福島,37.76,140.47,福島県

※近畿
大阪,34.69,135.50,大阪府
神戸,34.69,135.18,兵庫県
淡路島,34.34,134.89,兵庫県
京都,35.01,135.76,京都府
舞鶴,35.47,135.33,京都府
奈良,34.68,135.83,奈良県
和歌山,34.23,135.17,和歌山県
大津,35.01,135.86,滋賀県

※中国
鳥取,35.50,134.23,鳥取県
松江,35.46,133.04,島根県
出雲,35.36,132.75,島根県
岡山,34.66,133.91,岡山県
広島,34.38,132.45,広島県
山口,34.17,131.47,山口県
下関,33.95,130.93,山口県

※四国
徳島,34.07,134.55,徳島県
高松,34.34,134.04,香川県
松山,33.84,132.76,愛媛県
高知,33.56,133.53,高知県
天狗高原,33.48,133.00,高知県
柏島,32.76,132.62,高知県
四万十町,33.21,133.13,高知県

※九州
福岡,33.59,130.40,福岡県
佐賀,33.26,130.30,佐賀県
長崎,32.75,129.87,長崎県
雲仙,32.74,130.26,長崎県
平戸,33.37,129.55,長崎県
熊本,32.80,130.70,熊本県
阿蘇,32.93,131.07,熊本県
大分,33.23,131.60,大分県
高千穂,32.71,131.30,宮崎県
宮崎,31.91,131.42,宮崎県
鹿児島,31.56,130.55,鹿児島県
霧島,31.84,130.87,鹿児島県
指宿,31.23,130.64,鹿児島県

※北海道
札幌,43.06,141.35,北海道
稚内,45.41,141.67,北海道
旭川,43.77,142.36,北海道
網走,44.02,144.27,北海道
根室,43.33,145.58,北海道
釧路,42.98,144.38,北海道
帯広,42.92,143.20,北海道
函館,41.77,140.73,北海道
